userid,usergroup_title,course_id,title,alias,catid
41579,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41579,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41583,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41583,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41583,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41583,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41587,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41587,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41587,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41587,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41591,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41591,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41591,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41591,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41595,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41595,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41595,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41595,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41611,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41611,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41611,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41611,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41615,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41615,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41615,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41615,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41619,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41619,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41619,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41619,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41623,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41623,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41623,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41623,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41627,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41627,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41627,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41627,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41631,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41631,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41631,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41631,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41727,DL K-5 Year 1,42777,Globalizing Your Classroom: Integrating Language and Culture ,copy-dl-k-5-year-1-module-2,188
41727,DL K-5 Year 1,42837,Differentiation: Celebrating a Diverse Classroom Environment ,copy-dl-k-5-year-1-module-3,188
41727,DL K-5 Year 1,42845,Comprehensible Input: Meaningful Language ,copy-dl-k-5-year-1-module-4,188
41727,DL K-5 Year 1,43773,Becoming a Global Educator,copy-dl-k-5-year-1-module-1-training,188
42475,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42475,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42475,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42475,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42739,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42739,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42739,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42739,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42743,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42743,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42743,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42743,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42747,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42747,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42747,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42747,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42751,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42751,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42751,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42751,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42755,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42755,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42755,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42755,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42759,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42759,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42759,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42759,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42763,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42763,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42763,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42763,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42767,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42767,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42767,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42767,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42771,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42771,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42771,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42771,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
42775,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42775,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42775,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42775,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
