userid,old usergroup,new_usergroup,new_usergroup,lc_access_id,course_id,course_name,course_alias,moduletype,catid,access
998,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
998,77,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
998,77,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
998,77,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
998,77,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
999,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
999,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
999,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
999,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
999,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
999,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
999,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
999,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
999,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
999,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
999,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
999,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
999,77,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
999,77,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
999,77,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
999,77,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1000,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1000,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1000,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1000,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1000,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1000,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1000,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1000,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1000,77,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1000,77,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1000,77,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1000,77,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1005,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1005,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1005,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1005,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1005,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
1005,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
1005,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
1005,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
1005,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1005,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1005,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1005,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1005,77,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1005,77,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1005,77,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1005,77,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1021,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1021,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1021,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1021,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1021,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
1021,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
1021,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
1021,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
1021,12,13,Core 6-12 Year 2,8,42761,Intercultural Competence Inquiry (copy),copy-core-6-12-year-2-module-4,pd-copy,90,8
1021,12,13,Core 6-12 Year 2,8,42765,Mapping the Local and the Global (copy),copy-core-6-12-year-2-module-1,pd-copy,90,8
1021,12,13,Core 6-12 Year 2,8,42805,Visual Literacy and Inference Making (copy),copy-core-6-12-year-2-module-3,pd-copy,90,8
1021,12,13,Core 6-12 Year 2,8,42809,Global Interdependence Inquiry (copy),copy-core-6-12-year-2-module-2,pd-copy,90,8
1021,13,14,Core 6-12 Year 3,9,42773,Beyond Your Classroom (copy),copy-core-6-12-year-3-module-3,pd-copy,92,9
1021,13,14,Core 6-12 Year 3,9,42813,Engaging Students with Global Challenges (copy),copy-core-6-12-year-3-module-2,pd-copy,92,9
1021,13,14,Core 6-12 Year 3,9,42817,Understanding Student Global Competence (copy),copy-core-6-12-year-3-module-1,pd-copy,92,9
1021,13,14,Core 6-12 Year 3,9,42821,World Innovations (copy),copy-core-6-12-year-3-module-4,pd-copy,92,9
1021,14,70,Core 6-12 Year 4,69,42953,Framing Your Action Research Question (copy),copy-core-6-12-year-4-module-1,pd-copy,653,69
1021,14,70,Core 6-12 Year 4,69,42957,Planning and Implementing Your Action Research (copy),copy-core-6-12-year-4-module-2,pd-copy,653,69
1021,14,70,Core 6-12 Year 4,69,42961,Collecting Your Data and Summarizing Your Action Research Findings (copy),copy-core-6-12-year-4-module-3,pd-copy,653,69
1021,14,70,Core 6-12 Year 4,69,42965,Telling Your Action Research Story (copy),copy-core-6-12-year-4-module-4,pd-copy,653,69
1021,19,72,ELL K-12 Year 2,31,42985,Global Inquiry in the ESL Classroom (copy),copy-ell-k-12-year-2-module-1,pd-copy,655,31
1021,19,72,ELL K-12 Year 2,31,42989,Differentiation and Global Inquiry (copy),copy-ell-k-12-year-2-module-2,pd-copy,655,31
1021,19,72,ELL K-12 Year 2,31,42993,Balanced Literacy and Global Inquiry (copy),copy-ell-k-12-year-2-module-3,pd-copy,655,31
1021,19,72,ELL K-12 Year 2,31,42997,Sheltered Instruction and Global Inquiry (copy),copy-ell-k-12-year-2-module-4,pd-copy,655,31
1021,31,82,DL 6-8 Year 2,17,43917,Mapping the Local and the Global (copy),copy-dl-6-8-year-2-module-1,pd-copy,796,17
1021,31,82,DL 6-8 Year 2,17,43921,Global Interdependence Inquiry (copy),copy-dl-6-8-year-2-module-2,pd-copy,796,17
1021,31,82,DL 6-8 Year 2,17,43925,Visual Literacy and Inference Making (copy),copy-dl-6-8-year-2-module-3,pd-copy,796,17
1021,31,82,DL 6-8 Year 2,17,43929,Intercultural Competence Inquiry (copy),copy-dl-6-8-year-2-module-4,pd-copy,796,17
1021,34,58,DL K-5 Year 2,14,42885,Intercultural Competence in the Immersion Classroom (copy),copy-dl-k-5-year-2-module-1,pd-copy,189,14
1021,34,58,DL K-5 Year 2,14,42889,Culturally Responsive Immersion Classroom (copy),copy-dl-k-5-year-2-module-2,pd-copy,189,14
1021,34,58,DL K-5 Year 2,14,42893,Inquiry-based Balanced Literacy (copy),copy-dl-k-5-year-2-module-3,pd-copy,189,14
1021,34,58,DL K-5 Year 2,14,42897,Student-led Projects in the Immersion Classroom (copy),copy-dl-k-5-year-2-module-4,pd-copy,189,14
1021,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1021,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1021,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1021,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1021,58,71,DL K-5 Year 3,15,42969,Reflective Practice in the Immersion Classroom (copy),copy-dl-k-5-year-3-module-1,pd-copy,654,15
1021,58,71,DL K-5 Year 3,15,42973,Performance Assessments in the Immersion Classroom (copy),copy-dl-k-5-year-3-module-2,pd-copy,654,15
1021,58,71,DL K-5 Year 3,15,42977,Creating a Student-Centered Immersion Classroom (copy),copy-dl-k-5-year-3-module-3,pd-copy,654,15
1021,58,71,DL K-5 Year 3,15,42981,Promoting Student Talk in the Immersion Classroom (copy),copy-dl-k-5-year-3-module-4,pd-copy,654,15
1021,59,59,Principals and Admins K-5,56,42873,Planning and Implementing Your Action Research (copy),copy-core-k-5-year-4-module-2,pd-copy,616,56
1021,59,59,Principals and Admins K-5,56,42877,Collecting Your Data and Summarizing Your Action Research Findings (copy),copy-core-k-5-year-4-module-3,pd-copy,616,56
1021,59,59,Principals and Admins K-5,56,42881,Telling Your Action Research Story (copy),copy-core-k-5-year-4-module-4,pd-copy,616,56
1021,59,59,Principals and Admins K-5,56,42925,Framing Your Action Research Question (copy),copy-core-k-5-year-4-module-1,pd-copy,616,56
1022,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1022,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1022,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1022,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1022,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
1022,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
1022,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
1022,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
1022,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1022,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1022,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1022,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1026,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1026,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1026,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1026,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1026,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
1026,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
1026,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
1026,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
1026,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1026,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1026,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1026,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1035,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
1035,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
1035,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
1035,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
1035,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
1035,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
1035,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
1035,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
1035,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
1035,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
1035,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
1035,56,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
1038,12,13,Core 6-12 Year 2,8,42761,Intercultural Competence Inquiry (copy),copy-core-6-12-year-2-module-4,pd-copy,90,8
1038,12,13,Core 6-12 Year 2,8,42765,Mapping the Local and the Global (copy),copy-core-6-12-year-2-module-1,pd-copy,90,8
1038,12,13,Core 6-12 Year 2,8,42805,Visual Literacy and Inference Making (copy),copy-core-6-12-year-2-module-3,pd-copy,90,8
1038,12,13,Core 6-12 Year 2,8,42809,Global Interdependence Inquiry (copy),copy-core-6-12-year-2-module-2,pd-copy,90,8
1038,13,14,Core 6-12 Year 3,9,42773,Beyond Your Classroom (copy),copy-core-6-12-year-3-module-3,pd-copy,92,9
1038,13,14,Core 6-12 Year 3,9,42813,Engaging Students with Global Challenges (copy),copy-core-6-12-year-3-module-2,pd-copy,92,9
1038,13,14,Core 6-12 Year 3,9,42817,Understanding Student Global Competence (copy),copy-core-6-12-year-3-module-1,pd-copy,92,9
1038,13,14,Core 6-12 Year 3,9,42821,World Innovations (copy),copy-core-6-12-year-3-module-4,pd-copy,92,9
1038,14,70,Core 6-12 Year 4,69,42953,Framing Your Action Research Question (copy),copy-core-6-12-year-4-module-1,pd-copy,653,69
1038,14,70,Core 6-12 Year 4,69,42957,Planning and Implementing Your Action Research (copy),copy-core-6-12-year-4-module-2,pd-copy,653,69
1038,14,70,Core 6-12 Year 4,69,42961,Collecting Your Data and Summarizing Your Action Research Findings (copy),copy-core-6-12-year-4-module-3,pd-copy,653,69
1038,14,70,Core 6-12 Year 4,69,42965,Telling Your Action Research Story (copy),copy-core-6-12-year-4-module-4,pd-copy,653,69
1038,70,94,Core 6-12 Year 5,78,43077,Pathway: Do-it-Yourself (copy),copy-core-6-12-year-5-module-4,pd-copy,787,78
1038,70,94,Core 6-12 Year 5,78,43081,Pathway: Teacher Advocate (copy),copy-core-6-12-year-5-module-3,pd-copy,787,78
1038,70,94,Core 6-12 Year 5,78,43085,Pathway: Teacher as a Mentor (copy),copy-core-6-12-year-5-module-1,pd-copy,787,78
1038,70,94,Core 6-12 Year 5,78,43089,Pathway: Instructional Innovator (copy),copy-core-6-12-year-5-module-2,pd-copy,787,78
