"CET's, years 1-4",,,,,,,,,,,
LC User Id,Module 1,Module 2,Module 3,Module 4,Module 1 alias,Module 2 alias,Module 3 alias,Module 4 alias,Term,Placed Subject,Placed Level
33164,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
43043,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
1465,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
33102,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40062,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37024,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
49085,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
2632,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
34719,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37350,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
41011,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
2611,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
29893,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
30117,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40571,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
39862,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
42543,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
36417,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40607,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
35015,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
43027,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
40947,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
